epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.1686,3.25464,11.9073,1.90205,0.43306,0.08462,0.057,0.03426,2.70775,9.58844,1.68237,0.000474207,0.000474207,0.000474207
2,111.187,3.44717,11.1604,2.06226,0.5569,0.10006,0.0805,0.04015,2.76676,7.99688,1.67739,0.000948972,0.000948972,0.000948972
3,165.536,3.46868,11.0043,2.03386,0.54378,0.1204,0.09378,0.04722,2.70398,7.7757,1.72356,0.00142216,0.00142216,0.00142216
4,220.504,3.65023,9.10658,2.22868,0.52774,0.12975,0.10829,0.05549,2.74865,7.1872,1.73413,0.00142193,0.00142193,0.00142193
5,274.956,3.60075,9.30181,2.14438,0.47724,0.1352,0.08365,0.04461,2.82092,10.8902,1.76911,0.00141957,0.00141957,0.00141957
6,330.276,3.55785,8.12179,2.26406,0.51984,0.15393,0.10572,0.05497,2.81245,5.64703,1.77611,0.00141721,0.00141721,0.00141721
7,384.88,3.53607,8.16845,2.18851,0.5654,0.16067,0.11316,0.06018,2.75482,4.17827,1.76026,0.00141485,0.00141485,0.00141485
8,439.441,3.52741,7.11157,2.20561,0.555,0.09839,0.09351,0.04262,2.76706,4.51793,1.84094,0.0014125,0.0014125,0.0014125
9,494.53,3.49404,6.85222,2.13843,0.54308,0.17341,0.12235,0.06274,2.84038,4.89513,1.75633,0.00141014,0.00141014,0.00141014
10,549.207,3.60637,7.00207,2.16021,0.63008,0.10965,0.14729,0.07896,2.53382,3.53652,1.715,0.00140778,0.00140778,0.00140778
11,604.949,3.57456,6.23625,2.18667,0.60318,0.18378,0.1545,0.08201,2.75843,4.10057,1.76806,0.00140542,0.00140542,0.00140542
12,660.267,3.44137,5.6053,2.176,0.54806,0.14794,0.12572,0.06858,2.60669,3.56067,1.73583,0.00140306,0.00140306,0.00140306
13,713.594,3.21521,6.33924,2.06923,0.54424,0.19781,0.13624,0.07472,2.73228,4.57421,1.73157,0.00140071,0.00140071,0.00140071
14,769.045,3.52734,5.49463,2.20757,0.58957,0.14395,0.14641,0.08014,2.56442,3.87746,1.71567,0.00139835,0.00139835,0.00139835
15,824.291,3.3978,5.4853,2.14595,0.52078,0.19125,0.12996,0.07454,2.49473,3.76642,1.7175,0.00139599,0.00139599,0.00139599
16,879.585,3.49847,5.23611,2.23203,0.57008,0.20208,0.14167,0.07568,2.73518,4.25772,1.76161,0.00139363,0.00139363,0.00139363
17,934.425,3.35095,5.28589,2.14873,0.61846,0.20882,0.14892,0.07689,2.4893,3.49486,1.67847,0.00139127,0.00139127,0.00139127
18,988.922,3.23773,4.85848,2.09016,0.52766,0.22284,0.14728,0.08073,2.78053,5.07442,1.7441,0.00138892,0.00138892,0.00138892
19,1043.9,3.26191,4.77401,2.0392,0.6056,0.16049,0.1513,0.08614,2.6886,3.74518,1.7107,0.00138656,0.00138656,0.00138656
20,1098.87,3.31209,4.9292,2.10326,0.54113,0.18951,0.1406,0.0828,2.55471,4.19689,1.70361,0.0013842,0.0013842,0.0013842
21,1152.64,3.17035,4.8357,2.01223,0.58324,0.16269,0.16171,0.08678,2.54282,3.56756,1.70054,0.00138184,0.00138184,0.00138184
22,1207.11,3.22703,4.62982,2.06075,0.58575,0.22934,0.15798,0.09037,2.60298,4.53188,1.72147,0.00137949,0.00137949,0.00137949
23,1261.26,3.14319,4.43035,2.02131,0.24691,0.19807,0.16141,0.0828,2.70708,3.73644,1.73732,0.00137713,0.00137713,0.00137713
24,1316.57,3.2893,4.70045,2.05716,0.56612,0.194,0.14054,0.07808,2.76191,3.76864,1.77572,0.00137477,0.00137477,0.00137477
25,1371.28,3.35656,4.57544,2.11219,0.59787,0.15576,0.14378,0.07987,2.58861,4.15963,1.70292,0.00137241,0.00137241,0.00137241
26,1425.79,3.16927,4.48602,2.04994,0.58947,0.17754,0.15797,0.09427,2.44297,4.01288,1.70159,0.00137005,0.00137005,0.00137005
27,1480.09,3.06484,4.28179,2.00907,0.58068,0.22259,0.16323,0.09809,2.62825,3.86402,1.71085,0.0013677,0.0013677,0.0013677
